Nombre,Tipo de Actor,Organización,Cargo,Tipo Participación,Evento,Fecha,País,Tema/Panel,Fuente URL
Willy Kracht,Persona,U. de Chile,Director Dpto. Ing. de Minas,Expositor,Voces Mineras: Litio Chile,2022-03-01,Chile,Creación Empresa Nacional del Litio,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Juan Carlos Guajardo,Persona,Plusmining,Director Ejecutivo,Expositor,Voces Mineras: Litio Chile,2022-03-01,Chile,Mercado internacional litio,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Cristián Quinzio,Persona,Académico/Abogado,Especialista en minería,Expositor,Voces Mineras: Litio Chile,2022-03-01,Chile,Marco legal litio,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Eduardo Bitrán,Persona,Academia / ex-CORFO,Ex-VP Ejecutivo de CORFO,Expositor,Voces Mineras: Litio Chile,2022-03-01,Chile,Aporte del litio a la economía,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Marcela Hernando,Persona,Gobierno entrante,Futura Ministra de Minería,Expositor inaugural,Voces Mineras: Litio Chile,2022-03-01,Chile,Política de Estado sobre litio,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Víctor Pérez,Persona,Voces Mineras A.G.,Socio,Moderador,Voces Mineras: Litio Chile,2022-03-01,Chile,—,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Sergio Jarpa,Persona,Voces Mineras A.G.,Presidente,Organizador,Voces Mineras: Litio Chile,2022-03-01,Chile,—,https://www.nuevamineria.com/revista/desafios-y-oportunidades-de-la-mineria-del-litio-en-chile-en-nuevo-foro-de-voces-mineras-a-g/
Aurora Williams,Persona,Ministerio de Minería,Ministra,Expositora,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,Estrategia Nacional del Litio,https://www.reporteminero.cl/noticia/noticias/2023/09/universidad-antofagasta-abordara-estrategia-nacional-litio
Máximo Pacheco,Persona,Codelco,Presidente del Directorio,Expositor,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,Estrategia Nacional del Litio,https://www.reporteminero.cl/noticia/noticias/2023/09/universidad-antofagasta-abordara-estrategia-nacional-litio
Jorge Riesco,Persona,SONAMI,Presidente,Expositor,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,Visión industria minera,https://www.reporteminero.cl/noticia/noticias/2023/09/universidad-antofagasta-abordara-estrategia-nacional-litio
Cristina Dorador,Persona,U. de Antofagasta,Académica,Expositora,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,"Los salares no son minas, son ecosistemas",https://www.uantof.cl/prensa/con-la-realizacion-de-un-seminario-la-universidad-de-antofagasta-abordara-la-estrategia-nacional-del-litio/
Yovana Ahumada,Persona,Cámara de Diputados,"Diputada, Pres. Com. Minería",Expositora,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,Desafíos nueva política litio,https://www.uantof.cl/prensa/con-la-realizacion-de-un-seminario-la-universidad-de-antofagasta-abordara-la-estrategia-nacional-del-litio/
Mario Grágeda,Persona,"CELIMIN, U. de Atacama",Director,Expositor,U. Antofagasta: Política Nacional Litio,2023-09-01,Chile,Litio y transición energética,https://www.reporteminero.cl/noticia/noticias/2023/09/universidad-antofagasta-abordara-estrategia-nacional-litio
José García Ruminot,Persona,Senado de Chile,Presidente del Senado,Inaugurador,Senado: ENL Quo Vadis,2024-04-01,Chile,—,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
Juan Luis Castro,Persona,Senado de Chile,Pres. Comisión Minería,Presentador,Senado: ENL Quo Vadis,2024-04-01,Chile,Desafíos política pública,https://tv.senado.cl/tvsenado/programas/especiales/especial-conversatorio-estrategia-nacional-del-litio/2024-04-22/151544.html
