actor,sector,organizacion,cargo,periodo
Máximo Pacheco Matte,Operadores litio,Nova Andino Litio,Presidente,2025–act.
Máximo Pacheco Matte,Minería ampliada,Codelco,Presidente,2022–act.
Máximo Pacheco Matte,Empresarial no minero,Falabella,ex-Director,2014–2021
Máximo Pacheco Matte,Empresarial no minero,Banco de Chile,ex-Director,2018–2022
Máximo Pacheco Matte,Regulación y política,Min. Energía,ex-Ministro,2014–2016
Máximo Pacheco Matte,Regulación y política,Comité Corfo del Litio y Salares,"Integrante, ex officio Pres. Codelco",2023–act.
Máximo Pacheco Matte,Centros pensamiento,Escuela de Gob. PUC,Docente,2018–act.
Máximo Pacheco Matte,Sociedad civil ambiental,WWF Chile,Consejero,2018–act.
Alfredo Moreno Charme,Operadores litio,Nova Andino Litio,Director,2025–act.
Alfredo Moreno Charme,Minería ampliada,Codelco,Director,2025–2029
Alfredo Moreno Charme,Empresarial no minero,Falabella,Director,2014–act.
Alfredo Moreno Charme,Empresarial no minero,Brennan & Partners,Senior Advisor,2022–act.
Alfredo Moreno Charme,Regulación y política,Min. RREE,ex-Ministro,2010–2014
Alfredo Moreno Charme,Regulación y política,Min. Desarrollo Social,ex-Ministro,2018–2019
Alfredo Moreno Charme,Regulación y política,Min. Obras Públicas,ex-Ministro,2019–2022
Alfredo Moreno Charme,Centros pensamiento,Harvard Kennedy School,Advisory Board,2015–act.
Josefina Montenegro Araneda,Operadores litio,Nova Andino Litio,Directora,2025–act.
Josefina Montenegro Araneda,Minería ampliada,Codelco,Directora,2022–act.
Josefina Montenegro Araneda,Empresarial no minero,Cencosud,Directora,2018–act.
Josefina Montenegro Araneda,Empresarial no minero,Camanchaca,Directora,2024–act.
Josefina Montenegro Araneda,Empresarial no minero,Invercap/CAP,Directora,2022–act.
Josefina Montenegro Araneda,Empresarial no minero,SKY Airline,Directora,2018–act.
Josefina Montenegro Araneda,Empresarial no minero,Cámara de Comercio de Santiago,Consejera/Directora,2018–act.
Josefina Montenegro Araneda,Empresarial no minero,Caja La Araucana,Presidenta,2016–2019
Josefina Montenegro Araneda,Empresarial no minero,Empresa Portuaria Puerto Montt,Presidenta,2018–2022
Josefina Montenegro Araneda,Empresarial no minero,Asociación de Isapres,Presidenta,2015–2018
Josefina Montenegro Araneda,Regulación y política,Consejo Mercado de Capitales (Hacienda),Miembro,2022–act.
Josefina Montenegro Araneda,Regulación y política,Superintendencia de Quiebras,ex-Superintendenta,2010–2014
Josefina Montenegro Araneda,Regulación y política,Consejo Consultivo Min. Hacienda (Mercado de Capitales),Consejera,2020–act.
Josefina Montenegro Araneda,Centros pensamiento,U. Alberto Hurtado,Profesora,2018–act.
Josefina Montenegro Araneda,Centros pensamiento,Facultad de Derecho PUC – Consejo de Desarrollo Estratégico,Consejera,2020–act.
Eduardo Bitrán Colodro,Operadores litio,Salares de Chile SpA,ex-VP,2023–2024
Eduardo Bitrán Colodro,Operadores litio,Minera Tarar SpA,ex-VP,2023–2024
Eduardo Bitrán Colodro,Minería ampliada,Codelco,Director,2023–2027
Eduardo Bitrán Colodro,Empresarial no minero,ECONSSA,Director,2018–act.
Eduardo Bitrán Colodro,Regulación y política,CORFO,ex-VPE,2014–2018
Eduardo Bitrán Colodro,Regulación y política,Comité Consultivo Min. Críticos,Miembro,2025.0
Eduardo Bitrán Colodro,Regulación y política,Comité de Minerales Críticos,Integrante,2024–act.
Eduardo Bitrán Colodro,Regulación y política,Min. Obras Públicas,ex-Ministro,2006–2008
Eduardo Bitrán Colodro,Centros pensamiento,Facultad de Ingeniería y Ciencias UAI,Profesor titular,2018–act.
Eduardo Bitrán Colodro,Centros pensamiento,Hub APTA,Presidente,2022–act.
Eduardo Bitrán Colodro,Centros pensamiento,Fund. Espacio Público,Director,2014–act.
Ricardo Ramos Rodríguez,Operadores litio,SQM,CEO,2019–act.
Ricardo Ramos Rodríguez,Operadores litio,Nova Andino Litio,Vicepresidente,2025–act.
Ricardo Ramos Rodríguez,Sin clasificar,SQM (carrera previa),VP Finanzas/Servicios Corp.,1989–2018
Hernán Uribe Gabler,Operadores litio,Nova Andino Litio (por SQM),Director,2025–act.
Hernán Uribe Gabler,Empresarial no minero,Ripley Corp,Presidente,2024–act.
Hernán Uribe Gabler,Empresarial no minero,Banco Ripley Chile/Perú,Director,2014–act.
Hernán Uribe Gabler,Empresarial no minero,Mall Aventura,Director,2018–act.
Hernán Uribe Gabler,Empresarial no minero,Inmobiliaria Imagina,Director,2018–act.
Manuel Ovalle Edwards,Operadores litio,Nova Andino Litio (por SQM),Director,2025–act.
Manuel Ovalle Edwards,Minería ampliada,BISA (Argentina),Director,2020–act.
Manuel Ovalle Edwards,Minería ampliada,Grupo Fair Play (Bolivia),Director,2020–act.
