seccion,Nombre,Tipo,País/Región,Rol/Relación con Litio,Período,Notas Manuales
BUFETES DE ABOGADOS,Carey y Cía.,Bufete de abogados,Chile,": Mayor estudio Chile; asesor principal Codelco en acuerdo SQM (equipo Rafael Vergara y Cristián Eyzaguirre, 3 años negociación); asesor Codelco en acuerdo Rio Tinto Maricunga US$900M; asesor ENAMI en proyectos litio y selección socio; asesor Quiborax",2018-2026,"CRUCES: CONFLICTO DE INTERÉS — Rafael Vergara también representa a Tianqi Lithium (accionista 22% SQM) y visitó autoridades chilenas representando intereses Tianqi (2018); Francisco Ugarte fue director SQM representando a Tianqi mientras firma asesoraba a Codelco; Cristián Eyzaguirre proviene de Claro y Cía (asesor SQM); trabajo conjunto con Deloitte Legal, Sullivan & Cromwell, Rothschild | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Claro y Cía.,Bufete de abogados,Chile,: Asesor legal principal SQM en negociación con Codelco; equipo liderado por socios Rodrigo Ochagavía y Nicolás Luco; litigó por SQM ante Corte Suprema en casos CORFO,2024-2026,"CRUCES: Ochagavía descrito como uno de los ""casamenteros"" del acuerdo Codelco-SQM; Cristián Eyzaguirre fue socio de Claro (litigó por SQM) antes de pasar a Carey (asesora a Codelco) — rotación que transfiere conocimiento entre partes | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Cariola Díez Pérez-Cotapos,Bufete de abogados,Chile,"Asesor chileno de Rio Tinto en acuerdo Maricunga US$900M con Codelco; organiza eventos sobre litio (""Litio Sin Fronteras""); reconocido internacionalmente en práctica minera",2024-2026,CRUCES: Trabajo conjunto con Ashurst (asesor intl Rio Tinto); equipo incluye Gonzalo Grez y Lucas Antúnez | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,PPU (Philippi Prietocarrizosa Ferrero DU & Uría),Bufete de abogados,Chile,Asesoró Minera Salar Blanco en venta participación proyecto litio (jul 2022); asesor SQM Litio en procedimientos sancionatorios; asesoró Anglo American en megaalianza con Codelco; práctica fuerte en derecho ambiental/aguas,2022-2026,CRUCES: Juan Paulo Bambach asesora Eramet en demandas servidumbre y CEOL Ascotán; fusión con boutique ambiental (2021) fortalece capacidad sector litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Aylwin Matta Abogados,Bufete de abogados,Chile,"Contratado junto con Tironi para gestionar relaciones con comunidades del Salar de Atacama; estudio ingreso SEIA ""Salar Futuro""; socio Manuel Matta",2024-2026,CRUCES: Trabajo conjunto con Tironi Asociados en relacionamiento comunitario para NovaAndino Litio; interface legal-comunitaria del acuerdo Codelco-SQM | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Fangda Partners,Bufete de abogados,China,Asesor legal SQM ante SAMR (regulador antimonopolio China); equipo Michael Han,2025,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Garrigues Chile,Bufete de abogados,España/Chile,3 deals con Codelco desde 2024,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Sullivan & Cromwell LLP,Bufete de abogados,EE.UU.,": Asesor legal internacional Codelco en acuerdo Rio Tinto Maricunga US$900M (usó 4 oficinas); larga relación con Codelco; representó Codelco en emisión bonos US$1,400M (oct 2025) que financia proyectos litio",2024-2026,"CRUCES: Trabajo conjunto con Carey (Chile) en operaciones Codelco; equipo incluye Werner Ahlers, Sergio Galvis, Andrew Brod, Christian Hodges, Estefanía Souza | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Cleary Gottlieb Steen & Hamilton,Bufete de abogados,EE.UU.,"Asesoró LPI en adquisición por Codelco (~A$385M, 2023-24); representó Codelco en emisiones deuda US$1,400M; publicó análisis ""The Lithium Triangle""",2024-2026,CRUCES: Asesoró tanto al target (LPI) como al comprador (Codelco en deuda); posición en múltiples lados de transacciones litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Ashurst,Bufete de abogados,Reino Unido/Australia,": Asesoró LPI en adquisición por Codelco (~A$385M); asesor principal Rio Tinto en inversiones litio Región Atacama incl. acuerdo Maricunga; reconocido como ""go-to adviser"" minería greenfield/brownfield",2025,"CRUCES: Trabajo conjunto con Cariola Díez (Chile) para Rio Tinto; asesoró ambos lados (LPI como target, Rio Tinto como inversor) en operaciones Codelco en Maricunga | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Linklaters / Zhao Sheng,Bufete de abogados,UK/China,Consejero internacional en transacciones sector minero chileno; asesor legal Codelco ante SAMR (equipo Fay Zhou); trabajó junto con Carey y Claro en transacciones,2025,CRUCES: Asociación Linklaters Zhao Sheng para mercado chino; interfaz regulatoria China para operaciones litio | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Rafael Vergara,"Socio, Carey y Cía.",Chile,Líder equipo legal Codelco en acuerdo con SQM; también representó a Tianqi Lithium ante autoridades chilenas (2018),2018-2026,CRUCES: CONFLICTO DE INTERÉS DOCUMENTADO — representó a Tianqi (comprando SQM) y a Codelco (negociando con SQM); señalado por El Ciudadano y organizaciones civiles | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Cristián Eyzaguirre,"Socio, Carey y Cía. (ex-Claro)",Chile,Co-líder negociación Codelco-SQM; anteriormente fue socio de Claro y Cía donde litigó por SQM ante CCS,2024-2026,"CRUCES: Rotación Claro→Carey transfiere conocimiento del lado SQM al lado Codelco; patrón de ""revolving door"" jurídico | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Rodrigo Ochagavía Ruiz-Tagle,"Socio, Claro y Cía.",Chile,"Líder equipo legal SQM en acuerdo con Codelco; socio desde 2001; descrito como ""casamentero"" del acuerdo; citado ante Cámara de Diputados (ene 2025)",2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Nicolás Luco,"Socio, Claro y Cía.",Chile,Co-líder negociación legal SQM en acuerdo con Codelco,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Gonzalo Aguirre,"Fiscal, SQM (in-house)",Chile,Fiscal SQM en negociación del acuerdo con Codelco,2024-2026,CRUCES: Representación legal interna SQM; interfaz con Claro y Cía en negociación | Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Julio Recordon,"Socio, Carey y Cía.",Chile,Asesor legal ambiental Codelco-Rio Tinto en Maricunga,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,Francisco Ugarte,"Socio, Carey y Cía.",Chile,Asesor legal deals litio Codelco,2024-2026,"CRUCES: CONFLICTO DE INTERÉS — fue director de SQM representando a Tianqi, mientras su firma asesoraba a Codelco en negociación contra SQM | Reubicado desde 'Actores Financieros' (separación servicios profesionales)"
BUFETES DE ABOGADOS,Francisco Carey,"Socio, Carey y Cía.",Chile,Asesor legal deals litio,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
BUFETES DE ABOGADOS,José Pardo,"Socio, Carey y Cía.",Chile,Asesor legal deals litio,2024-2026,Reubicado desde 'Actores Financieros' (separación servicios profesionales)
